normalized_lhs_key,occurrences,develop_line_lhs_rhs_pairs
/docs/sdk_changelogs,2,L389:/docs/sdk_changelogs=>/docs/developer_guide/changelogs | L4291:/docs/SDK_Changelogs/=>/docs/developer_guide/changelogs
/docs/react_native/ios,2,L1165:/docs/react_native/ios=>/docs/developer_guide/sdk_integration/?sdktab=react%20native&tab=ios | L4290:/docs/React_Native/iOS/=>/docs/developer_guide/sdk_integration/?sdktab=react%20native&tab=ios
/docs/partners/data_and_infrastructure_agility/customer_data_platform/mparticle/mparticle,2,L2387:/docs/partners/data_and_infrastructure_agility/customer_data_platform/mparticle/mparticle=>/docs/partners/data_and_analytics/customer_data_platform/mParticle/mparticle | L4367:/docs/partners/data_and_infrastructure_agility/customer_data_platform/mParticle/mparticle=>/docs/partners/data_and_analytics/customer_data_platform/mparticle
/docs/partners/data_and_infrastructure_agility/customer_data_platform/mparticle/mparticle_for_currents,2,L2587:/docs/partners/data_and_infrastructure_agility/customer_data_platform/mparticle/mparticle_for_currents=>/docs/partners/data_and_analytics/customer_data_platform/mParticle/mparticle_for_currents | L4368:/docs/partners/data_and_infrastructure_agility/customer_data_platform/mParticle/mparticle_for_currents=>/docs/partners/data_and_analytics/customer_data_platform/mParticle/mparticle_for_currents
/docs/user_guide/message_building_by_channel/email/apple_mail/email_private_relay_apple_sso,2,L3953:/docs/user_guide/message_building_by_channel/email/apple_mail/email_private_relay_apple_sso=>/docs/user_guide/channels/email/best_practices/apple_mail/email_private_relay_apple_SSO | L4315:/docs/user_guide/message_building_by_channel/email/apple_mail/email_private_relay_apple_SSO/=>/docs/user_guide/channels/email/best_practices/apple_mail/email_private_relay_apple_SSO
